This data is improvised for data cleaning practice and does not reflect real world data.,,,,,,,
,,,,,,,
Preliminary estimates as of August 2023; figures may not reflect most recent field updates.,,,,,,,
NOTE: This file is not formatted for automated processing. Use caution when importing.,,,,,,,
,,,,,,,
----------------- BEGIN DATA BELOW THIS LINE -----------------,,,,,,,
,County,City,Town,Business,License,count,staff
,AshfordHills,Bluegrass,Willow Springs,"Grocery, Convenience Store",0,3,3
,AshfordHills,Bluegrass,Willow Springs,"Grocery, Gas station",0,1,4
,AshfordHills,Bluegrass,Willow Springs,"Convenience Store, Gas station",0,3,9
,AshfordHills,Bluegrass,Willow Springs,Drugstore,1,13,17
,AshfordHills,Bluegrass,Willow Springs,"Grocery, Drugstore",1,2,6
,AshfordHills,Bluegrass,Willow Springs,"CVS, Drugstore",1,4,11
,AshfordHills,Bluegrass,Willow Springs,"Gas station, Drugstore",1,8,16
,AshfordHills,Bluegrass,Willow Springs,"Grocery, Gas station, Drugstore",1,4,12
,AshfordHills,Bluegrass,Willow Springs,"CVS, Gas station, Drugstore",1,2,2
,AshfordHills,Bluegrass,Xenith Hill,Bed and breakfast,0,2,6
,AshfordHills,Bluegrass,Xenith Hill,Car wash,0,5,11
,AshfordHills,Bluegrass,Xenith Hill,Barber,0,3,8
,AshfordHills,Bluegrass,Xenith Hill,Restaurant,0,16,44
,AshfordHills,Bluegrass,Xenith Hill,Gym,0,13,34
,AshfordHills,Bluegrass,Xenith Hill,Truck repair shop,0,30,51
,AshfordHills,Bluegrass,Xenith Hill,Ophthalmologist,1,1,2
,AshfordHills,Bluegrass,Xenith Hill,Bar,0,33,51
,AshfordHills,Bluegrass,Xenith Hill,Grocery,0,38,76
,AshfordHills,Bluegrass,Xenith Hill,Convenience Store,0,10,21
,AshfordHills,Bluegrass,Xenith Hill,Cafe,0,8,28
,AshfordHills,Bluegrass,Xenith Hill,Gas station,0,7,8
,AshfordHills,Bluegrass,Xenith Hill,"Grocery, Convenience Store",0,1,1
,AshfordHills,Bluegrass,Xenith Hill,"Grocery, Gas station",0,1,2
,AshfordHills,Bluegrass,Xenith Hill,Drugstore,1,5,15
,AshfordHills,Bluegrass,Xenith Hill,"Grocery, Drugstore",1,1,3
,AshfordHills,Bluegrass,Xenith Hill,"CVS, Drugstore",1,3,4
,AshfordHills,Bluegrass,Xenith Hill,"Gas station, Drugstore",1,1,4
,AshfordHills,Bluegrass,Xenith Hill,"Grocery, Convenience Store, Gas station",0,1,4
,AshfordHills,Bluegrass,Xenith Hill,"Grocery, Gas station, Drugstore",1,2,3
,AshfordHills,Bluegrass,Yellow Brook,Barber,0,2,4
,AshfordHills,Bluegrass,Yellow Brook,Restaurant,0,6,18
,AshfordHills,Bluegrass,Yellow Brook,Gym,0,5,18
,AshfordHills,Bluegrass,Yellow Brook,Bar,0,2,2
,AshfordHills,Bluegrass,Yellow Brook,Grocery,0,5,11
,AshfordHills,Bluegrass,Yellow Brook,Convenience Store,0,2,3
,AshfordHills,Bluegrass,Yellow Brook,Cafe,0,1,3
,AshfordHills,Bluegrass,Yellow Brook,Gas station,0,2,6
,AshfordHills,Bluegrass,Yellow Brook,"Gas station, Drugstore",1,1,4
,AshfordHills,Bluegrass,Havenville,B&B,0,1,2
,AshfordHills,Bluegrass,Havenville,Car wash,0,2,2
,AshfordHills,Bluegrass,Havenville,Barber,0,3,9
,AshfordHills,Bluegrass,Havenville,Restaurant,0,5,18
,AshfordHills,Bluegrass,Havenville,Gym,0,8,20
,AshfordHills,Bluegrass,Havenville,Repair shop(truck),0,12,16
,AshfordHills,Bluegrass,Havenville,Bar,0,12,12
,AshfordHills,Bluegrass,Havenville,Grocery,0,31,79
,AshfordHills,Bluegrass,Havenville,Convenience Store,0,20,56
,AshfordHills,Bluegrass,Havenville,Cafe,0,8,31
,AshfordHills,Bluegrass,Havenville,Gas station,0,4,9
,AshfordHills,Bluegrass,Havenville,"Grocery, Convenience Store",0,2,4
,AshfordHills,Bluegrass,Havenville,"Grocery, Gas station",0,1,1
,AshfordHills,Bluegrass,Havenville,"Convenience Store, Gas station",0,2,7
,AshfordHills,Bluegrass,Havenville,Pharmacy,1,5,8
,AshfordHills,Bluegrass,Havenville,"Grocery, Drugstore",1,2,3
,AshfordHills,Bluegrass,Havenville,"Gas station, Drugstore",1,2,7
,AshfordHills,Bluegrass,Havenville,"Grocery, CVS, Drugstore",1,1,2
,AshfordHills,Bluegrass,Havenville,"Grocery, Gas station, Drugstore",1,1,2
,AshfordHills,Bluegrass,Havenville,"CVS, Gas station, Drugstore",1,1,1
,AshfordHills,Bluegrass,Havenville,Dentist,1,1,3
----------------- END OF THE DATA -----------------,,,,,,,
,,,,,,,
"Data compiled by the Department of Local Affairs - Economic Unit (Contact: L. Ipsum, x3749)",,,,,,,
